machine_id,ville,type_machine,risque,temperature_C,vibration,pression_bar,age_ans,production_jour,panne
M0001,Abomey-Calavi,Compresseur,Faible,,3.0,6.65,13,21256.0,0
M0002,Cotonou,Moteur,Moyen,65.0,3.37,6.72,10,28487.0,0
M0003,Parakou,Pompe,Faible,77.5,,7.11,15,20511.0,0
M0004,Abomey-Calavi,Pompe,Faible,72.5,3.12,,9,31192.0,0
M0005,Parakou,Moteur,Moyen,74.1,4.51,6.93,13,9425.0,0
M0006,Porto-Novo,Pompe,Faible,67.6,4.37,6.99,8,28381.0,0
M0007,Parakou,Pompe,Faible,77.0,,7.17,13,28151.0,0
M0008,Parakou,Pompe,Moyen,76.9,5.4,6.46,4,24687.0,0
M0009,Porto-Novo,Compresseur,Élevé,75.0,5.27,6.06,10,15609.0,0
M0010,Porto-Novo,Pompe,Faible,66.2,2.23,8.03,16,22725.0,0
M0011,Parakou,Moteur,Faible,77.6,5.36,7.22,11,14410.0,0
M0012,Cotonou,Pompe,Moyen,64.8,1.97,,14,29606.0,0
M0013,Parakou,Pompe,Faible,60.4,5.36,6.34,11,12083.0,0
M0014,Parakou,Moteur,Faible,78.4,2.95,6.99,8,24118.0,0
M0015,Cotonou,Pompe,Élevé,71.2,4.23,7.68,1,17857.0,0
M0016,Porto-Novo,Moteur,Faible,59.9,3.88,7.8,17,9965.0,0
M0017,Cotonou,Pompe,Faible,66.8,4.38,7.13,9,23640.0,0
M0018,Parakou,Moteur,Moyen,72.3,2.02,7.52,2,35122.0,0
M0019,Abomey-Calavi,Pompe,Moyen,79.7,5.5,7.04,9,31700.0,0
M0020,Cotonou,Pompe,Élevé,70.4,4.55,6.38,6,19579.0,0
M0021,Porto-Novo,Compresseur,Moyen,65.9,3.85,6.26,9,23961.0,0
M0022,Abomey-Calavi,Pompe,Moyen,64.0,5.17,6.08,1,26107.0,0
M0023,Porto-Novo,Moteur,Faible,61.7,3.56,6.55,5,32305.0,0
M0024,Porto-Novo,Pompe,Faible,71.2,6.15,7.5,4,24192.0,0
M0025,Parakou,Moteur,Faible,66.1,,6.72,10,33927.0,0
M0026,Cotonou,Pompe,Moyen,76.9,6.14,7.97,6,23332.0,0
M0027,Cotonou,Compresseur,Faible,66.7,2.75,7.52,5,26413.0,0
M0028,Abomey-Calavi,Pompe,Élevé,80.3,3.94,7.37,9,24199.0,0
M0029,Cotonou,Pompe,Moyen,70.5,1.4,6.4,16,23471.0,0
M0030,Cotonou,Compresseur,Faible,72.4,3.9,6.83,10,25679.0,0
M0031,Abomey-Calavi,Moteur,Faible,71.3,2.7,7.34,14,23482.0,0
M0032,Parakou,Pompe,Moyen,71.0,2.61,6.45,2,38331.0,0
M0033,Abomey-Calavi,Compresseur,Moyen,,4.7,7.4,1,12789.0,0
M0034,Parakou,Pompe,Faible,66.7,3.47,7.55,13,36102.0,0
M0035,Abomey-Calavi,Moteur,Moyen,68.2,4.93,7.22,2,30970.0,0
M0036,Cotonou,Moteur,Faible,70.3,2.22,6.14,17,27127.0,0
M0037,Parakou,Moteur,Élevé,77.2,,7.09,1,33254.0,0
M0038,Cotonou,Compresseur,Élevé,64.5,3.9,6.25,5,33199.0,0
M0039,Abomey-Calavi,Pompe,Faible,83.3,0.78,7.74,7,20199.0,0
M0040,Parakou,Moteur,Faible,64.7,2.17,6.58,6,16066.0,0
M0041,Cotonou,Pompe,Moyen,67.8,3.43,,15,42250.0,0
M0042,Cotonou,Pompe,Élevé,72.9,1.08,6.95,7,31260.0,0
M0043,Cotonou,Compresseur,Faible,73.4,3.94,6.61,16,28426.0,0
M0044,Abomey-Calavi,,Faible,65.0,6.958231509487325,7.39,5,42572.0,0
M0045,Parakou,Pompe,Moyen,78.9,4.36,7.09,11,23739.0,0
M0046,Cotonou,Pompe,Faible,,2.53,7.95,14,21644.0,0
M0047,Parakou,Moteur,Faible,72.0,,6.08,10,32453.0,0
M0048,Parakou,,Moyen,78.0,1.25,6.92,9,26807.0,0
M0049,Parakou,Pompe,Faible,77.9,,7.1,17,24029.0,0
M0050,Abomey-Calavi,Pompe,Faible,,1.55,6.81,2,20776.0,0
M0051,Abomey-Calavi,Pompe,Moyen,74.0,5.12,6.22,15,26564.0,0
M0052,Porto-Novo,Pompe,Moyen,75.8,3.35,6.22,13,17796.0,0
M0053,Cotonou,Pompe,Moyen,70.3,1.06,,7,34305.0,0
M0054,Cotonou,Pompe,Élevé,75.2,4.18,6.49,10,17646.0,0
M0055,Cotonou,Moteur,Moyen,70.4,2.74,5.87,12,20407.0,0
M0056,Parakou,Pompe,Élevé,69.7,3.21,6.18,4,22812.0,0
M0057,Parakou,Pompe,Faible,70.7,3.38,7.01,3,16921.0,0
M0058,Cotonou,Moteur,Faible,79.4,4.47,7.17,8,36423.0,0
M0059,Abomey-Calavi,Compresseur,Moyen,70.0,2.95,6.84,2,20081.0,0
M0060,Cotonou,Moteur,Moyen,79.0,4.2,7.25,12,30101.0,0
M0061,Porto-Novo,Pompe,Faible,71.3,2.19,6.93,15,17413.0,0
